id,ACTION
1,0.04615734586225228
2,1
3,1
4,0.9997124183006536
5,1
6,0.9622666666666667
7,0.9712500993746391
8,1
9,0.4785843589006413
10,0.9970711142921078
11,0.9947189567899539
12,0.9240277536368081
13,0.9725648102682086
14,0.9352488103277936
15,0.8693134245572445
16,0.9957641961183151
17,0.9129527895225437
18,0.9132651687111126
19,0.9997856268391851
20,0.9922000000000001
21,0.999804964539007
22,1
23,0.9960784092427999
24,0.9869151719753293
25,0.9999677419354839
26,0.9403461107498491
27,0.9491713761253726
28,0.17115800957378086
29,0.9430196824157295
30,0.968585958670308
31,0.9837533951243681
32,0.9942976081497907
33,0.9860128205128206
34,0.9768719856484877
35,0.9934717503902676
36,0.9988178053830228
37,0.9424240606969242
38,0.9919574468085106
39,0.9118470783145127
40,0.5452471537968299
41,0.9956666666666667
42,0.9896888888888888
43,0.663478554957229
44,0.988083367028904
45,0.976083520773907
46,0.9981768839074342
47,1
48,0.9943291909305949
49,0.9960854713830272
50,0.9936168549820724
51,0.9590218127366572
52,0.9901868001813343
53,0.8818538719504915
54,1
55,0.9497602452500046
56,0.8796232200558874
57,0.9537474061530814
58,1
59,0.9870810803442791
60,0.994
61,1
62,0.9413305555555556
63,0.9965925061170714
64,1
65,0.9992315263479614
66,0.977723229696283
67,0.977207931640752
68,0.9998839678839679
69,0.9060486866269892
70,0.3117432700919701
71,0.4530600101342958
72,1
73,1
74,0.9957534721231401
75,0.9978168276972625
76,0.9838878787878789
77,0.9814009938685326
78,0.07483164444192802
79,0.07783609963265645
80,0.9988404255319149
81,1
82,0.9989201235847338
83,0.9850575275397796
84,1
85,0.9952299217777821
86,0.9649408017729972
87,0.974232540675845
88,0.9984381566283085
89,1
90,0.924716666666667
91,0.9863603556677243
92,0.6265606494502733
93,1
94,0.9255335773574873
95,0.999664573268921
96,0.9997142857142857
97,0.3838401811045496
98,0.99304045545617
99,0.9966020066889633
100,0.9999038461538462
101,0.9101665564331356
102,0.6982521764539735
103,0.968735215083608
104,0.97345510225207
105,0.025275089339594506
106,0.7872263451363453
107,1
108,0.7207713782362437
109,0.9862183421932715
110,0.9977928994350812
111,0.8201797307533559
112,0.99512209768857
113,0.9934898260898261
114,0.9996499999999999
115,0.8511704935954156
116,0.9928502390466943
117,0.9963960951587796
118,0.993968253968254
119,0.998
120,0.9985433482015889
121,0.7832180828517683
122,1
123,0.9892942570664629
124,0.8571730757758477
125,0.9974444444444445
126,0.8918770065024695
127,0.9223958264131971
128,0.907623090308385
129,0.9866397979797978
130,0.994798133711316
131,0.9970866341176206
132,0.9695038744917033
133,0.993901056755922
134,0.9806737793725364
135,1
136,0.777651102273992
137,0.9994997138396288
138,0.9987556034482759
139,0.6034857147141691
140,1
141,0.9551027079239444
142,0.8128818924135244
143,0.9999956140350877
144,1
145,1
146,0.8572599783128044
147,0.9778734577193696
148,0.9483123648861802
149,0.998
150,0.9998378378378379
151,0.9981727272727272
152,0.897702225411049
153,0.9974516321004534
154,0.4988537138230495
155,0.9986242774566474
156,0.7486627585935033
157,0.975538894904152
158,0.9613062083482636
159,0.9217475287985074
160,0.9870005631697736
161,0.06541566792455727
162,0.9027028912739347
163,0.9947142857142858
164,0.99214297540495755
165,0.9994476581640845
166,0.996
167,0.821996214548831
168,0.9958947146133933
169,0.9875597701312042
170,0.999501106809626
